sample_id,interp_age,interp_age_uncert_pos,interp_age_uncert_neg,age_model_type,ann_lam_check,dep_rate_check
457041,112776.636,1153.00667752378,1153.00667752378,mixed (see notes),not applicable,not applicable
457042,112856.568,1191.02680001012,1191.02680001012,mixed (see notes),not applicable,not applicable
457043,112936.248,1229.32584289602,1229.32584289602,mixed (see notes),not applicable,not applicable
457044,113015.821,1269.56021794281,1269.56021794281,mixed (see notes),not applicable,not applicable
457045,113095.646,1311.97149967213,1311.97149967213,mixed (see notes),not applicable,not applicable
457046,113176.164,1357.82640752379,1357.82640752379,mixed (see notes),not applicable,not applicable
457047,113256.526,1405.18115963294,1405.18115963294,mixed (see notes),not applicable,not applicable
457048,113336.933,1453.65876251679,1453.65876251679,mixed (see notes),not applicable,not applicable
457049,113418.141,1503.03808866308,1503.03808866308,mixed (see notes),not applicable,not applicable
457050,113500.038,1553.41905259881,1553.41905259881,mixed (see notes),not applicable,not applicable
457051,113582.81,1605.28801565738,1605.28801565738,mixed (see notes),not applicable,not applicable
457052,113665.928,1658.25750147714,1658.25750147714,mixed (see notes),not applicable,not applicable
457053,113749.868,1712.8899118607,1712.8899118607,mixed (see notes),not applicable,not applicable
457054,113835.777,1767.68555725087,1767.68555725087,mixed (see notes),not applicable,not applicable
457055,113923.969,1822.98699769081,1822.98699769081,mixed (see notes),not applicable,not applicable
457056,114013.795,1880.92323610511,1880.92323610511,mixed (see notes),not applicable,not applicable
457057,114107.368,1937.14217395268,1937.14217395268,mixed (see notes),not applicable,not applicable
457058,114207.55,1993.47012848278,1993.47012848278,mixed (see notes),not applicable,not applicable
457059,114323.319,2051.62687879785,2051.62687879785,mixed (see notes),not applicable,not applicable
457060,114393.203,1982.32924924605,1982.32924924605,mixed (see notes),not applicable,not applicable
457061,114455.862,1915.27047719763,1915.27047719763,mixed (see notes),not applicable,not applicable
457062,114517.235,1848.69717594536,1848.69717594536,mixed (see notes),not applicable,not applicable
457063,114577.132,1783.33287482916,1783.33287482916,mixed (see notes),not applicable,not applicable
457064,114635.771,1719.13684671516,1719.13684671516,mixed (see notes),not applicable,not applicable
457065,114693.529,1656.20248136974,1656.20248136974,mixed (see notes),not applicable,not applicable
457066,114750.861,1594.42081787101,1594.42081787101,mixed (see notes),not applicable,not applicable
457067,114807.767,1533.88972632864,1533.88972632864,mixed (see notes),not applicable,not applicable
457068,114864.529,1474.62066129928,1474.62066129928,mixed (see notes),not applicable,not applicable
457069,114921.346,1416.37829431568,1416.37829431568,mixed (see notes),not applicable,not applicable
457070,114978.339,1359.38466041477,1359.38466041477,mixed (see notes),not applicable,not applicable
457071,115035.276,1304.23389364996,1304.23389364996,mixed (see notes),not applicable,not applicable
457072,115092.03,1251.28659968632,1251.28659968632,mixed (see notes),not applicable,not applicable
457073,115148.922,1200.7559412697,1200.7559412697,mixed (see notes),not applicable,not applicable
457074,115205.985,1152.66301542434,1152.66301542434,mixed (see notes),not applicable,not applicable
457075,115263.306,1106.94645394793,1106.94645394793,mixed (see notes),not applicable,not applicable
457076,115321.218,1063.48279419912,1063.48279419912,mixed (see notes),not applicable,not applicable
457077,115381.224,1020.66994784722,1020.66994784722,mixed (see notes),not applicable,not applicable
457078,115443.096,979.223742703513,979.223742703513,mixed (see notes),not applicable,not applicable
457079,115509.443,944.115342945333,944.115342945333,mixed (see notes),not applicable,not applicable
457080,115597.864,908.051806947214,908.051806947214,mixed (see notes),not applicable,not applicable
457081,115678.09,874.991017600112,874.991017600112,mixed (see notes),not applicable,not applicable
457082,115756.225,842.254081282743,842.254081282743,mixed (see notes),not applicable,not applicable
