sample_id,lin_interp_age,lin_interp_age_uncert_pos,lin_interp_age_uncert_neg,lin_reg_age,lin_reg_age_uncert_pos,lin_reg_age_uncert_neg,Bchron_age,Bchron_age_uncert_pos,Bchron_age_uncert_neg,Bacon_age,Bacon_age_uncert_pos,Bacon_age_uncert_neg,OxCal_age,OxCal_age_uncert_pos,OxCal_age_uncert_neg,copRa_age,copRa_age_uncert_pos,copRa_age_uncert_neg,StalAge_age,StalAge_age_uncert_pos,StalAge_age_uncert_neg
456651,124734.89456056,1056.5339012607,1073.36484559251,124502.788080781,326.816319116464,334.183486872033,,,,126901.7665,524.439137499998,529.654599999994,,,,124593.921753461,1331.62188344041,1187.08872746152,123579.911207978,637.905304849803,701.906859485811
456652,124895.663381426,1078.91527593382,1125.55548380443,124584.657869433,325.487950949202,329.157471591432,,,,126963.6605,531.71149999999,526.129875000013,,,,124778.136680574,1341.33574924574,1204.61945840274,123795.325567512,557.899080190648,660.268948721918
456653,125047.213237587,1093.64968273873,1140.37745605109,124666.270216024,323.6149013166,328.092219644575,,,,127024.4795,539.057499999995,521.11883750002,,,,124958.416145432,1351.7095125222,1220.09387137039,124008.551396647,484.454435957101,623.561103875603
456654,125203.8767515,1144.49677952194,1168.08994168747,124748.352882111,321.009797756735,326.202343795318,,,,127089.012,539.926949999994,520.752250000005,,,,125132.407828986,1391.87582023759,1235.22350032715,124220.586368527,425.536633655836,591.423874585962
456655,125359.686951712,1182.13025865893,1206.57684250211,124829.195615796,319.414534487121,323.710079837343,,,,127153.15625,540.574187500009,518.669812499997,,,,125300.405075418,1400.92658841319,1248.86357708114,124432.428156299,389.110934793527,563.497810492147
456656,125523.941432879,1198.51517652663,1251.56158409512,124911.326464321,316.675205279622,323.409747467274,,,,127216.4925,549.679250000001,516.55750000001,,,,125468.415864932,1388.83836538356,1260.95001059737,124645.074433108,383.142600876876,539.423461233237
456657,125683.1791901,1220.10048043582,1331.6946708965,124993.299296874,315.319270293301,322.75709101485,,,,127280.02025,557.304449999996,513.611012500012,,,,125629.90409723,1380.31247181233,1265.9543752074,124859.522872098,415.596893412498,518.841376448385
456658,125847.612543655,1254.12576729918,1396.71840021209,125076.196600635,312.139894701046,321.77722762608,,,,127342.362,564.262399999992,510.164499999999,,,,125786.54484965,1345.20394638133,1255.41393841134,125076.771146416,494.43907390708,501.392105776715
456659,126003.656776393,1172.80690792449,1313.62409486814,125159.061821943,310.750932905794,319.929915583692,,,,127405.05325,570.763250000004,507.992712499996,,,,125944.89886266,1291.71862145382,1239.99636405293,125297.601957766,623.460732400112,486.688368874238
456660,126153.408646957,1113.39924423264,1221.65174764168,125240.37711951,311.099321868023,316.749914511965,,,,127469.79125,571.123500000002,507.336250000022,,,,126123.040432564,1207.44067283142,1215.95069558069,125521.938122097,789.758773062291,474.231565464535
456661,126304.95043656,1045.20199335739,1151.34620299641,125322.029502343,310.405699139956,314.282123787067,,,,127534.471375,575.346687499987,510.78697500001,,,,126312.312812874,1120.93736916081,1156.8929865964,125749.487483916,976.256428597131,463.495265288133
456662,126460.113215352,972.665344921741,1075.14699296674,125404.045376692,307.751755042918,312.301533151011,,,,127598.5965,584.871250000011,514.176149999999,,,,126501.098905632,1026.08062793947,1080.40465300165,125979.95788773,1165.87693170812,453.953038085514
456663,126612.155618276,892.817180378101,985.985857757289,125485.890476281,304.64747276681,310.150219556628,,,,127663.945375,585.51185000001,521.331137500005,,,,126691.272163779,947.714663034247,989.323071643099,126213.057178047,1341.54351509881,445.078453597176
456664,126760.230116623,828.052243241516,900.433985901356,125567.951269635,302.915420134697,309.210966046609,,,,127727.82375,587.522800000006,519.720924999987,,,,126882.210388953,860.230420754786,900.539190427211,126448.493199376,1486.17941147267,436.345081563602
456665,126917.479034851,753.579343748497,834.992974939189,125649.754857107,300.431144828966,306.195179061659,,,,127790.348125,592.654812499997,520.118999999992,,,,127074.695706637,779.503690472193,804.699649930044,126685.973796223,1582.70785353324,427.226491725305
