sample_id,d13C_measurement,d13C_precision
456736,-4.77728328513278,0.08
456737,-4.80258984897854,0.08
456738,-4.90973080531204,0.08
456739,-5.10733083372957,0.08
456740,-5.57220465392173,0.08
456741,-6.60302032845639,0.08
456742,-6.9177045755504,0.08
456743,-6.98821522150397,0.08
456744,-6.92870616129763,0.08
456745,-7.05393410852713,0.08
456746,-7.05839792086581,0.08
456747,-7.05834911767603,0.08
456748,-6.88989789561595,0.08
456749,-6.88695545713682,0.08
456750,-6.7830242411483,0.08
456751,-6.96932692034271,0.08
456752,-6.71044245211736,0.08
456753,-6.74926980430806,0.08
456754,-6.61984471105081,0.08
456755,-6.61694097881404,0.08
456756,-6.4019305749731,0.08
456757,-6.32539072062455,0.08
456758,-6.52736742547169,0.08
456759,-6.39732771348767,0.08
456760,-6.53167646332693,0.08
456761,-6.47497544171993,0.08
456762,-6.58314418226638,0.08
456763,-6.58681144407557,0.08
456764,-6.77349475053121,0.08
456765,-6.72130769315825,0.08
456766,-6.67965621606374,0.08
456767,-6.55775758959811,0.08
456768,-6.53335772738642,0.08
456769,-6.04618344166534,0.08
456770,-5.95353590276366,0.08
456771,-5.54191594122702,0.08
456772,-5.36509060732496,0.08
456773,-5.14181613435116,0.08
456774,-5.08685678634554,0.08
456775,-5.15163770736513,0.08
456776,-5.15587407539072,0.08
456777,-5.17747682045847,0.08
456778,-5.0098664269573,0.08
456779,-4.63714952256492,0.08
456780,-4.75365774850944,0.08
456781,-4.76648773849254,0.08
456782,-4.96283482168972,0.08
456783,-5.35635462937714,0.08
456784,-5.3727098235788,0.08
456785,-5.41913759207312,0.08
456786,-5.32167732223936,0.08
456787,-5.09238435435151,0.08
456788,-4.98945019871336,0.08
456789,-4.67742807703702,0.08
456790,-4.3408966163502,0.08
456791,-4.22021037924899,0.08
456792,-4.30160067302431,0.08
456793,-4.38593147677488,0.08
456794,-4.32828442533391,0.08
456795,-4.23084941845274,0.08
456796,-4.08285278314819,0.08
456797,-4.02684210991824,0.08
456798,-3.98721679505089,0.08
456799,-3.87292786834411,0.08
456800,-3.83125732206652,0.08
456801,-3.84408715012723,0.08
456802,-4.06538486005089,0.08
456803,-4.10668256997456,0.08
456804,-4.21131361323155,0.08
456805,-4.19594465648855,0.08
456806,-4.39724236641222,0.08
456807,-4.27187340966921,0.08
456808,-4.34446882951654,0.08
456809,-4.5457665394402,0.08
456810,-4.77706424936387,0.08
456811,-5.02169529262087,0.08
456812,-4.94299300254453,0.08
456813,-4.95762404580153,0.08
456814,-5.19558842239186,0.08
456815,-5.42355279898219,0.08
456816,-5.51281488549618,0.08
456817,-5.45411259541985,0.08
456818,-5.48541030534351,0.08
456819,-5.48004134860051,0.08
456820,-5.63467239185751,0.08
456821,-5.81930343511451,0.08
456822,-5.78726781170484,0.08
456823,-5.3825,0.06
456824,-6.2925,0.06
456825,-8.6625,0.06
456826,-6.5825,0.06
456827,-9.3625,0.06
456828,-9.0825,0.06
456829,-6.5125,0.06
456830,-6.3125,0.06
456831,-5.9325,0.06
456832,-7.1125,0.06
456833,-5.5625,0.06
456834,-7.4925,0.06
456835,-7.9525,0.06
456836,-8.1125,0.06
456837,-7.7025,0.06
456838,-8.7225,0.06
456839,-7.1025,0.06
456840,-7.6725,0.06
456841,-6.3825,0.06
456842,-5.9725,0.06
456843,-6.6125,0.06
456844,-7.7225,0.06
456845,-6.8625,0.06
456846,-7.8725,0.06
456847,-8.7825,0.06
456848,-7.3725,0.06
456849,-6.1225,0.06
456850,-8.3825,0.06
456851,-8.5225,0.06
456852,-9.7225,0.06
456853,-7.7025,0.06
456854,-8.8125,0.06
456855,-7.5025,0.06
456856,-6.0925,0.06
456857,-5.2125,0.06
456858,-6.6525,0.06
456859,-7.6725,0.06
456860,-9.2625,0.06
456861,-7.9625,0.06
456862,-5.9025,0.06
456863,-6.1725,0.06
456864,-7.1525,0.06
456865,-7.9325,0.06
456866,-7.1725,0.06
456867,-7.9925,0.06
456868,-6.2525,0.06
456869,-6.3925,0.06
456870,-7.7725,0.06
456871,-7.4225,0.06
456872,-6.7425,0.06
456873,-7.1325,0.06
456874,-7.0725,0.06
456875,-5.6025,0.06
456876,-4.0425,0.06
456877,-3.8325,0.06
456878,-4.9725,0.06
456879,-5.2525,0.06
456880,-5.2525,0.06
456881,-5.7925,0.06
456882,-5.2725,0.06
456883,-5.3125,0.06
456884,-5.6725,0.06
456885,-6.2025,0.06
456886,-6.0225,0.06
456887,-6.3025,0.06
456888,-6.5825,0.06
456889,-7.2325,0.06
456890,-7.5025,0.06
456891,-5.7325,0.06
456892,-6.3825,0.06
456893,-6.8725,0.06
456894,-6.1425,0.06
456895,-6.4625,0.06
456896,-7.2325,0.06
456897,-6.2725,0.06
456898,-5.4625,0.06
456899,-5.6525,0.06
456900,-4.7425,0.06
