sample_id,d18O_measurement,d18O_precision
457406,-4.94029677827141,0.08
457407,-5.08522450796252,0.08
457408,-5.19780183768504,0.08
457409,-5.10492205241238,0.08
457410,-4.65242130516849,0.08
457411,-4.38675062106658,0.08
457412,-4.29309193655626,0.08
457413,-4.13168089678844,0.08
457414,-4.17820122508909,0.08
457415,-4.09182530526116,0.08
457416,-3.97422082207594,0.08
457417,-3.79364744407621,0.08
457418,-3.89499092954567,0.08
457419,-3.85665224397522,0.08
457420,-3.69693828832429,0.08
457421,-3.64563735592961,0.08
457422,-3.64499465967168,0.08
457423,-3.8203486218994,0.08
457424,-3.87143792789568,0.08
457425,-3.8806480026474,0.08
457426,-3.96883909861679,0.08
457427,-3.96443011048154,0.08
457428,-4.17442462133274,0.08
457429,-4.02332849658893,0.08
457430,-4.4997520471824,0.08
457431,-4.59759029013929,0.08
457432,-4.47017948737337,0.08
457433,-4.3559135468893,0.08
457434,-4.35533418701356,0.08
457435,-4.28279158680709,0.08
457436,-4.08365684789176,0.08
457437,-4.18039831127184,0.08
457438,-4.32025248195225,0.08
457439,-4.25288274535648,0.08
457440,-4.00907163784456,0.08
457441,-3.99632113969356,0.08
457442,-3.89145160348168,0.08
457443,-3.7541888246286,0.08
457444,-3.68974955247718,0.08
457445,-3.56760923119359,0.08
457446,-3.6449866046449,0.08
457447,-3.53328531146866,0.08
457448,-3.4719805379396,0.08
457449,-3.16,0.08
457450,-3.49043855779105,0.08
457451,-3.31,0.08
457452,-3.4629595787651,0.08
457453,-3.28835926303918,0.08
457454,-3.29212937671509,0.08
457455,-3.39551908521209,0.08
457456,-3.38465550416128,0.08
457457,-3.26751947712736,0.08
457458,-3.35338802685261,0.08
457459,-3.447817928886,0.08
457460,-3.69593558056228,0.08
457461,-3.29878368208051,0.08
457462,-3.40031059731349,0.08
457463,-3.34078459858036,0.08
457464,-3.64504953837546,0.08
457465,-3.53818116694784,0.08
457466,-3.60166584111493,0.08
457467,-3.65436729130201,0.08
457468,-3.40149389935312,0.08
457469,-3.30701734675569,0.08
457470,-3.43762461835838,0.08
457471,-3.41265603985759,0.08
457472,-3.61965411916689,0.08
457473,-3.58951123814583,0.08
457474,-3.3172833146797,0.08
457475,-3.20595182176587,0.08
457476,-3.34659969582526,0.08
457477,-3.23852602463236,0.08
457478,-3.58135565089604,0.08
457479,-3.37580650877623,0.08
457480,-3.64232808673244,0.08
457481,-3.59658512549553,0.08
457482,-3.4061311813777,0.08
457483,-3.2246166211918,0.08
457484,-3.27548523500909,0.08
457485,-3.32407886258341,0.08
457486,-3.59233118817293,0.08
457487,-3.49943684813253,0.08
457488,-3.26205148186497,0.08
457489,-3.61312081483387,0.08
457490,-3.26593969053895,0.08
457491,-3.41741579169104,0.08
457492,-3.34602539409579,0.08
457493,-3.28649709062247,0.08
457494,-3.22224224626642,0.08
457495,-3.25376114148521,0.08
457496,-3.27819284477314,0.08
457497,-3.23320299827327,0.08
457498,-4.09733244996224,0.08
457499,-4.38335745040323,0.08
457500,-4.38353216388573,0.08
457501,-4.45062216096845,0.08
457502,-4.40260091409178,0.08
457503,-4.3317171260185,0.08
457504,-4.23884944605028,0.08
457505,-4.13909303117569,0.08
457506,-4.0776237844572,0.08
457507,-4.12238055903392,0.08
457508,-4.09925159708477,0.08
457509,-4.07487371474797,0.08
457510,-4.12062226234431,0.08
457511,-4.05547865946366,0.08
457512,-4.00359763613979,0.08
457513,-4.08256819356605,0.08
457514,-4.12777409891367,0.08
457515,-4.15006450245232,0.08
457516,-4.20893626708723,0.08
457517,-4.21351936744902,0.08
457518,-4.18572919579519,0.08
457519,-4.1719384122159,0.08
457520,-4.15439767476172,0.08
